Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,leaf1-DC1,Ethernet1,mlag_peer,leaf2-DC1,Ethernet1,True
leaf,leaf1-DC1,Ethernet2,spine,spine1-DC1,Ethernet2,True
leaf,leaf1-DC1,Ethernet3,spine,spine2-DC1,Ethernet2,True
leaf,leaf1-DC1,Ethernet6,server,host1-DC1,,True
leaf,leaf1-DC1,Ethernet7,server,host1-DC1,,True
leaf,leaf2-DC1,Ethernet1,mlag_peer,leaf1-DC1,Ethernet1,True
leaf,leaf2-DC1,Ethernet2,spine,spine1-DC1,Ethernet3,True
leaf,leaf2-DC1,Ethernet3,spine,spine2-DC1,Ethernet3,True
leaf,leaf2-DC1,Ethernet6,server,host1-DC1,,True
leaf,leaf2-DC1,Ethernet7,server,host1-DC1,,True
leaf,leaf3-DC1,Ethernet1,mlag_peer,leaf4-DC1,Ethernet1,True
leaf,leaf3-DC1,Ethernet2,spine,spine1-DC1,Ethernet4,True
leaf,leaf3-DC1,Ethernet3,spine,spine2-DC1,Ethernet4,True
leaf,leaf3-DC1,Ethernet6,server,host2-DC1,,True
leaf,leaf3-DC1,Ethernet7,server,host2-DC1,,True
leaf,leaf4-DC1,Ethernet1,mlag_peer,leaf3-DC1,Ethernet1,True
leaf,leaf4-DC1,Ethernet2,spine,spine1-DC1,Ethernet5,True
leaf,leaf4-DC1,Ethernet3,spine,spine2-DC1,Ethernet5,True
leaf,leaf4-DC1,Ethernet6,server,host2-DC1,,True
leaf,leaf4-DC1,Ethernet7,server,host2-DC1,,True
spine,spine1-DC1,Ethernet1,mlag_peer,spine2-DC1,Ethernet1,True
spine,spine1-DC1,Ethernet2,leaf,leaf1-DC1,Ethernet2,True
spine,spine1-DC1,Ethernet3,leaf,leaf2-DC1,Ethernet2,True
spine,spine1-DC1,Ethernet4,leaf,leaf3-DC1,Ethernet2,True
spine,spine1-DC1,Ethernet5,leaf,leaf4-DC1,Ethernet2,True
spine,spine2-DC1,Ethernet1,mlag_peer,spine1-DC1,Ethernet1,True
spine,spine2-DC1,Ethernet2,leaf,leaf1-DC1,Ethernet3,True
spine,spine2-DC1,Ethernet3,leaf,leaf2-DC1,Ethernet3,True
spine,spine2-DC1,Ethernet4,leaf,leaf3-DC1,Ethernet3,True
spine,spine2-DC1,Ethernet5,leaf,leaf4-DC1,Ethernet3,True
